Genotypes,mg_ml_glucose,Block,Trials
BB,0.048,1,1
BB,0.251,2,1
BB,0.096,3,1
BB,0.017,4,1
BB,0.052,5,1
BB,0.078,6,1
BB,0.006,1,1
BB,0.125,2,1
SP,0,3,1
SP,0.078,4,1
SP,0.13,5,1
SP,0.015,6,1
BB,0.691,1,2
BB,0.195,2,2
BB,0.289,3,2
BB,0.833,4,2
BB,0.447,5,2
BB,0.684,6,2
BB,0.272,7,2
BB,0.161,8,2
BB,0.197,9,2
BB,0.065,10,2
SP,0.11,1,2
SP,0.077,2,2
SP,0.037,3,2
SP,0.043,4,2
SP,0.004,5,2
SP,0.019,6,2
SP,0.13,7,2
SP,0.251,8,2
SP,0.061,9,2
SP,0.089,10,2
