Genotypes,mg_ml_glucose,Block
BB,0.408,1
BB,0.296,2
BB,0.286,3
BB,0.431,4
BB,0.135,5
BB,0.429,6
BB,0.124,7
BB,0.159,8
BB,0.158,9
BB,0.144,10
SP,0.015,1
SP,0.081,2
SP,0.023,3
SP,0.015,4
SP,0.057,5
SP,0,6
SP,0.095,7
SP,0,8
SP,0.048,9
SP,0.081,10
