Genotypes,mg_ml_glucose,Block,Trials
BB,0.138,1,1
BB,0.157,2,1
BB,0.064,3,1
BB,0.137,4,1
BB,0.152,5,1
BB,0.108,6,1
BB,0.052,7,1
BB,0.031,8,1
SP,0.054,2,1
SP,0.381,3,1
SP,0.132,4,1
SP,0.094,5,1
SP,0.09,6,1
SP,0.078,8,1
BB,0.408,1,2
BB,0.296,2,2
BB,0.286,3,2
BB,0.431,4,2
BB,0.135,5,2
BB,0.429,6,2
BB,0.124,7,2
BB,0.159,8,2
BB,0.158,9,2
BB,0.144,10,2
SP,0.015,1,2
SP,0.081,2,2
SP,0.023,3,2
SP,0.015,4,2
SP,0.057,5,2
SP,0.095,7,2
SP,0.048,9,2
SP,0.081,10,2
