Genotypes,mg_ml_glucose,Block
BB,0.185,1
BB,0.108,2
BB,0.386,3
BB,0.091,4
BB,0.182,6
BB,0.148,7
BB,0.124,8
SP,0.075,1
SP,0.047,2
SP,0.043,3
SP,0.045,4
SP,0.066,5
SP,0.112,6
SP,0.205,7
SP,0.26,8
