Genotypes,mg_ml_glucose,Block
BB,0.048,1
BB,0.251,2
BB,0.096,3
BB,0.017,4
BB,0.052,5
BB,0.078,6
SP,0.006,1
SP,0.125,2
SP,0.078,4
SP,0.13,5
SP,0.015,6
