Genotypes,Block,mg_ml_glucose
BB,1,0.048
BB,2,0.251
BB,3,0.096
BB,4,0.017
BB,5,0.052
BB,6,0.078
SP,1,0.006
SP,2,0.125
SP,3,-0.002
SP,4,0.078
SP,5,0.13
SP,6,0.015
